ID,Name,Job Title,Company,Salary,Location,Hire Date,Email,Phone,Department
1e186434-40f6-4a96-80e0-03beca3e3321,Timothy Johnston,,Microsoft,96274.0,Remote,2024-01-06,charlesmckinney@example.net,+1-418-531-8361x00997,Sales
ffb2ea9a-71df-4774-8879-1116dd80252c,Ryan Valencia,HR Specialist,Tesla,147589.0,,2024-10-28,conniefoley@example.org,+1-205-509-3476x11967,Sales
c16df367-6f6a-490b-8589-efb43ca416a9,Andres Hodge,HR Specialist,Apple,194638.0,Remote,2024-10-25,thomashouston@example.org,,Sales
7a1a902b-94a2-4fe9-b600-7aef22eafb87,Carol Flores,Software Engineer,Facebook,145526.0,Paris,2024-05-20,randy55@example.org,(410)733-3046x086,Marketing
c7579beb-47ac-4991-85a5-53e4f0ef0446,Robin Williams,HR Specialist,Facebook,96012.0,San Francisco,2024-09-29,nathansanchez@example.net,659.832.7352,Sales
9cf6bb75-8926-4fb8-bb89-61e6bb66e192,Megan Franklin,HR Specialist,Facebook,,New York,2024-11-10,andrew55@example.org,+1-527-205-0694x1215,Sales
8318f95f-c9b8-46a8-a344-3af29114bad1,Brandi Smith,Product Manager,Facebook,188729.0,London,2024-09-03,fullerrebecca@example.net,001-259-447-6108x7043,Human Resources
9ef096f1-9594-40d4-8cf7-36c4befe5444,Stephanie King,,Facebook,73090.0,London,2024-05-02,duanemccann@example.org,001-500-677-5797x916,Marketing
3b87b3db-69ee-470c-a782-1fbdb8d83dd1,Donna Atkins,HR Specialist,Tesla,190607.0,Paris,2024-07-01,alexandragonzalez@example.org,(478)272-3380x25673,Marketing
9fca3512-89e1-4b3c-bdd0-eba2f04f640d,Alexandra Bradley,Marketing Manager,Google,,New York,2024-01-28,jillgonzalez@example.net,380-623-0674x3174,
fcdc3833-92a5-48fe-97a4-c68748e1019b,Anne Best,HR Specialist,Google,171454.0,San Francisco,2024-06-04,,001-973-720-6080x7482,Product
e457b332-7886-43e5-9f07-78621219d158,Christopher Brown DDS,Sales Executive,Tesla,,Remote,2024-09-11,john52@example.net,381.468.3671x07016,Product
8e44becf-5284-49f7-bf27-afe97d284037,Vanessa Moss,Data Scientist,Google,,Remote,2024-09-06,castillocristian@example.com,(664)750-7113,Engineering
a09c4f7d-ac86-457f-8946-b8e725b47f2f,David Baker,Product Manager,Amazon,95055.0,London,2024-07-23,,,Product
da041e17-f7a7-4cd4-a682-379dd5e528ef,Sabrina Smith,Marketing Manager,Microsoft,,San Francisco,2024-03-12,fosterrobert@example.org,3284740314,Human Resources
9d7c98e2-4257-438c-9da7-0eb6070e32a3,Natalie Lloyd,Data Scientist,Tesla,70376.0,Remote,2024-02-03,barryharper@example.org,308-294-3060,Engineering
c50a3287-2aff-4b10-b8ce-81a0868af285,Kimberly Smith,HR Specialist,Facebook,161605.0,Berlin,2024-04-15,randersen@example.org,+1-290-666-5029x560,Sales
2ed4712c-c8cd-48fc-8abf-0152f99b1cdb,Amy Mathis,Product Manager,Facebook,140023.0,Berlin,2024-08-27,scarey@example.net,(246)356-4514x763,Engineering
36d0ed1e-83f5-4adc-be71-22c037287ca6,Julie Branch,Marketing Manager,Amazon,187380.0,Paris,2024-10-23,jparrish@example.org,9257737923,Human Resources
bd3b5ba1-1fec-4997-aff0-bce9e6ebbb6c,Rebecca Delacruz,Product Manager,Tesla,66419.0,Remote,2024-08-14,kelly82@example.org,,
c780819b-d7b0-4b4a-be8d-b58d5e8e2740,Patricia Smith,Data Scientist,Tesla,,Berlin,2024-03-06,mccallbarry@example.com,(942)333-4537,Engineering
f999f188-610a-4707-bb85-781391758b25,Stephen Fitzpatrick,Sales Executive,Facebook,108188.0,San Francisco,2024-10-23,gatesemily@example.org,001-335-337-6140x37843,Sales
439867bc-2d6b-4c36-80a3-b81273c34544,Timothy Lynn,Software Engineer,Microsoft,124206.0,Berlin,2024-01-26,vanessa61@example.com,385.676.3058x140,
747fcabb-8938-40b0-be72-0badc465b7f2,Jonathan White,Product Manager,,71581.0,Berlin,2024-04-10,angela18@example.net,,Human Resources
bf1fd41c-e3bb-40b9-b2fc-0e370730972e,Kendra Franklin,Data Scientist,Google,,New York,2024-04-18,anthony92@example.net,9924474557,Human Resources
00157a5f-9348-4c7c-8b3c-4e71a5b3534b,Kristen Medina,Sales Executive,Microsoft,,Paris,2024-06-30,leelee@example.org,001-202-315-1317x033,Product
671548a8-2b35-4131-be7c-f08edc76ea5d,Patty Jimenez,Data Scientist,,106911.0,Remote,2024-09-17,,646.217.5247,Human Resources
e98f6d63-8674-4900-a84c-eb7615201e20,Christopher Hernandez,Software Engineer,,,Berlin,2024-10-18,hlopez@example.org,+1-784-251-6577x930,
67ddda8f-ac58-424f-8824-55309df60110,Nathan Mcdaniel MD,HR Specialist,Amazon,,San Francisco,2024-08-27,,001-453-547-8760,Marketing
54e02e0d-698c-4b31-b993-ab149617424e,Rebecca Clark,Sales Executive,Tesla,,New York,2024-10-26,rhondaanderson@example.net,(652)903-2248x80218,Product
c2a9ebfe-7a3b-49a0-a74d-d0185d3f9dfb,Paul Hunter,Data Scientist,Amazon,140864.0,San Francisco,2024-01-02,,(573)687-4454x19445,Engineering
03b5058d-2506-49e6-8900-d9b9dbc88faa,Cynthia Reed MD,Marketing Manager,Tesla,115188.0,Remote,2024-01-21,stacy46@example.com,741-678-3850x034,
a19a8524-95d2-43b8-bacf-bc061247de44,Sheri Hill,Data Scientist,Microsoft,,Berlin,2024-08-08,qdyer@example.com,(977)720-7265,Sales
efe56868-068f-474f-b765-fe5d51cc9781,Steve Ball,Software Engineer,Microsoft,75999.0,Paris,2024-06-16,wellsregina@example.org,(497)804-6266x2019,Product
900e2453-0a46-4082-b880-4676dee3164a,Lorraine Jackson,Sales Executive,Amazon,,London,2024-09-04,delacruzkyle@example.org,001-362-252-4507,Sales
29dd430d-59c4-4894-b587-dca6b07f9c1e,Aaron Osborn,HR Specialist,Amazon,170409.0,Berlin,2024-05-04,samanthadavila@example.com,439.838.3333x367,Engineering
bb9e1159-706e-41b5-a712-3b521b4cbad2,James Nguyen,Product Manager,Amazon,,New York,2024-01-28,evansjerry@example.org,2476015819,
b6c9306b-a555-491a-8a7e-acf80beb0207,Charles Berry,Marketing Manager,,182958.0,,2024-09-23,guygonzalez@example.com,330.818.0577x687,Product
29f36d1c-19d5-48fe-8976-2ad4c785cfdc,Jessica Hammond,Data Scientist,Apple,,New York,2024-10-23,davidmartin@example.org,+1-504-303-7533x12744,Product
12a9eeed-33dd-40df-b2d4-e79661bdddb4,Austin Hood,HR Specialist,Tesla,51650.0,San Francisco,2024-05-18,,885-293-2445,Sales
5548cd49-5b81-4613-a3de-c744be4c868c,Erin Rodriguez,Sales Executive,Microsoft,174051.0,Paris,2024-11-06,paulali@example.com,,
4afb4ada-6ad0-4dfb-9c0b-51dcb384ef83,Shawn Baker,Sales Executive,Amazon,86178.0,Paris,2024-04-29,andrewhouse@example.org,+1-961-565-0737x66610,Sales
af44a39a-9cb4-4f0d-8154-f8cc80ec4d29,Michelle Wells,Software Engineer,Amazon,133562.0,London,2024-08-31,cking@example.com,,Sales
aa0c661c-e507-4ef0-a52c-d6f5443e31d8,Brian Mckee,,Amazon,,Paris,2024-06-21,,+1-982-449-4568x9093,Human Resources
54b9208e-1111-4bbe-ac39-b98fe920b0af,Christine Allen,Sales Executive,Apple,,New York,2024-05-30,adrian96@example.org,(696)878-2001x55085,
9370c819-3bfc-47b9-bf28-6ee1d8af4ada,Louis Herrera,Marketing Manager,Apple,,Remote,2024-02-23,yramos@example.org,(621)304-7740,Product
5f297186-7b94-4b34-ad5b-e85887d0c0ae,Randy Allen,Sales Executive,Apple,73938.0,San Francisco,2024-06-26,ymcdonald@example.com,233-422-0109x764,Product
fb804194-6b68-4648-9ecb-4b4a54ad128a,Nancy Figueroa,,,177430.0,Remote,2024-04-29,conwayjanet@example.net,001-572-482-7340x27893,Sales
99c144da-0870-477a-a416-09abc418386b,James Pierce,HR Specialist,Apple,116086.0,Remote,2024-04-09,,001-758-755-1454x506,Marketing
5d2cd494-aff2-4d5c-830d-886d48933015,Austin Jones,Product Manager,Google,140053.0,,2024-12-09,shawkyle@example.net,+1-470-886-8834x3469,
38c5b438-b828-4e5a-aace-25b3edefa919,Katrina Mccoy,,,,,2024-07-26,johnsonkimberly@example.com,+1-652-202-7458,Engineering
3bbbba82-7adc-4167-b2dd-e1dc1dfe564f,Kathy Cole,HR Specialist,Apple,,Paris,2024-01-19,shermanandrew@example.org,305.604.1098x77910,Sales
7701f4b1-12ab-48a2-8033-72a4377f4268,Rebecca Ruiz,Sales Executive,,60355.0,New York,2024-02-24,petersonbarbara@example.net,001-982-213-4187x0823,Marketing
1729e62b-635e-41c4-9830-244b39116605,Nicholas Kelley,Product Manager,Tesla,67311.0,Remote,2024-10-26,ryanwilliams@example.net,001-312-261-6280x164,Product
d4edcec4-dc5a-41d9-a279-f893f78fbde5,Kenneth French,Product Manager,Apple,51265.0,Berlin,2024-03-04,robertbanks@example.net,902.868.4131,Engineering
365b3ce6-616c-4e57-a91f-726796f40976,Lee Thompson,Marketing Manager,Facebook,,,2024-04-16,alan60@example.com,(221)771-8575,Marketing
93a30692-7ab7-450a-8994-b58af82aa9f7,Brendan Hall,Software Engineer,,,Paris,2024-04-14,,,Marketing
0ccedf6c-073b-4016-ac27-77125b3eb767,Pamela Wagner,Data Scientist,,96209.0,New York,2024-11-10,,(640)474-6618x4761,Marketing
adbf245b-0b50-4336-b42d-851944f9f2f5,Betty Hansen,Marketing Manager,,,Berlin,2024-04-03,kelleyemma@example.org,573-898-9681x591,
6b106011-f331-420d-88d2-84661f217682,Heather Stephens,Data Scientist,,164622.0,New York,2024-09-16,erin85@example.com,001-226-276-7414x23918,Human Resources
eef1048d-3f98-463d-95ce-88ca3b67b060,James Johnson,HR Specialist,Google,118224.0,Berlin,2024-10-27,brandonbowers@example.net,001-445-698-4094x9140,Sales
9e054b97-f472-4450-9b35-5aae10617e01,Maria Henderson,Marketing Manager,Tesla,,Remote,2024-08-27,greenejason@example.net,(389)495-6618,Engineering
3b162cd9-8262-4c24-acb9-aa42b41bf22a,Melissa Herman MD,Marketing Manager,Apple,194403.0,San Francisco,2024-05-28,davidlopez@example.net,,Product
44150d93-b263-4f51-b562-4cf145d909cc,Ian Hill,Data Scientist,Google,,Remote,2024-11-19,levi70@example.net,+1-775-773-7934,Engineering
2c6a8cc8-58cd-4f3c-bce0-d8028b74093d,Wendy Ballard,Data Scientist,Microsoft,56550.0,Berlin,2024-01-09,fhorton@example.org,470-371-2833,Human Resources
ea39c501-786a-4d4c-959d-feb451e53d53,Tamara Johnson,HR Specialist,Microsoft,177617.0,London,2024-05-20,sarahruiz@example.com,,Marketing
f314118b-4451-4568-ac75-57dd43e3303c,Mrs. Lori Baker PhD,Marketing Manager,Microsoft,,San Francisco,2024-04-13,michelle17@example.net,(631)930-6978,Product
a4021767-b021-4030-85cb-6cde32c406b6,Jared Cherry,Data Scientist,Apple,136682.0,Berlin,2024-05-28,,327-716-3457x4500,Human Resources
fd0c7a7f-2b8f-437d-bf50-d171415d265e,Bryan Christensen,Product Manager,Google,127828.0,Remote,2024-08-31,shermanamy@example.org,+1-672-658-4917x876,Marketing
b3e36235-ce18-4439-b4f8-4a8f5a81aed3,Donald Bennett,Sales Executive,Tesla,,London,2024-08-28,hillkenneth@example.net,001-572-691-9743x7704,Sales
918dfce7-0c82-4086-badf-8e0bc0684110,Deborah Rogers,Product Manager,Google,154192.0,Berlin,2024-06-21,garzasteven@example.net,+1-512-300-4339,
be042478-dab1-45b1-8787-0238a7f27840,Yolanda Peterson,Product Manager,Apple,,,2024-10-21,joycechristopher@example.org,,Human Resources
21769262-f66f-4f4c-bfcb-e7d89ca2eb37,Janet Woods,Software Engineer,Facebook,,Berlin,2024-02-29,lindahunter@example.org,310.947.2037x053,Product
13e0382e-f9d1-48f0-9980-2c530e299d1e,Lisa Smith,Product Manager,Facebook,147930.0,Berlin,2024-12-06,,001-920-705-9065x78549,Sales
81197f59-c0d4-4813-9309-46a163729bf0,Tiffany Jones,,Apple,175902.0,Paris,2024-07-05,hmosley@example.org,874-979-3919x7487,Engineering
e3292932-f178-4508-a6d4-415f4387c2c4,Eddie Ferguson,HR Specialist,Facebook,,Paris,2024-01-29,kellythomas@example.org,+1-843-311-4279x712,Product
daa43302-b9da-4ba5-8a03-03564a1ac81d,Jessica Pennington,Marketing Manager,,,Paris,2024-03-10,cking@example.net,+1-516-880-9464x558,Engineering
a0c39e70-3be6-437d-8b4b-8dfedb90da90,Katherine Ward,HR Specialist,Microsoft,,New York,2024-11-22,jontaylor@example.net,947.791.5290,Sales
aa40b60c-3537-4c8d-b1f4-2fe2f1633f80,Allison Miller,Data Scientist,Apple,,San Francisco,2024-05-16,swilliams@example.com,211.598.9215,Marketing
5fc04bd8-d04c-408d-9dcb-c92ee9f688b1,Mark Collier,Marketing Manager,Apple,,Paris,2024-01-17,miguel36@example.org,666-833-7043x926,Product
f88950e5-4d28-4728-a425-6636f0f60e96,Michael Barber MD,Sales Executive,Tesla,,,2024-01-29,matthew85@example.org,,
