ID,Name,Course,Department,Age,City,Hobby,Allowance,Salary of Parents
4535a95d-14c7-4359-ba40-f833340ac7ea,Allison Eaton,Philosophy,Science,25.0,Remote,Music,3002.4113316652765,90493.7516737675
12aff534-3b4d-428b-84f1-50f9539f07a7,Sean Brennan,Electrical Engineering,Law,24.0,Los Angeles,Gaming,3002.293577981651,90497.14000811524
e930c9dd-0342-4796-8d3d-c7406003c4b3,Adam Tate,Computer Science,Law,22.0,Houston,Music,3002.293577981651,90493.7516737675
a94f873c-7938-4b59-8cf7-89a1014d41a9,Scott Morris,Electrical Engineering,Engineering,25.0,Houston,Traveling,3002.4113316652765,90497.14000811524
ca58f46d-78a6-4e76-b753-6ade9a64ac21,Cynthia Fisher,Psychology,Arts,20.0,San Francisco,Cooking,3002.4113316652765,90497.14000811524
145e8280-0581-42a8-b370-a1804e797300,Tammy Lee,Law,Health,20.0,Remote,Gaming,3002.4113316652765,90493.7516737675
95d2d60d-8ff1-46b2-897d-0dd393fefa0b,Rose Norton,Physics,Arts,25.0,Houston,Traveling,3002.4113316652765,90497.14000811524
5107f7ca-2e62-4397-bc8a-6b37e989b9f3,Dr. Brandon Stark,Mathematics,Science,18.0,Remote,Traveling,3002.4113316652765,90493.7516737675
365a8d5f-cd4b-4811-bb5d-2e5c982ce31f,Kristi Kelly,Business Administration,Science,25.0,Boston,Cooking,3002.293577981651,90493.7516737675
57cb942b-398f-4516-a8a4-233f198f3374,Maureen Harris,Chemistry,Law,20.0,Los Angeles,Gaming,3002.293577981651,90497.14000811524
cc8c44c0-ea64-4d2d-965c-49069d3664a1,Hector Ramirez,Mathematics,Science,25.0,Los Angeles,Music,3002.4113316652765,90493.7516737675
0c24791c-5321-48e8-9863-0d29aff9ed41,Victoria Sutton,Mechanical Engineering,Arts,21.0,Houston,Sports,3002.293577981651,90493.7516737675
59561e63-869b-46b9-b1fa-a8672c0a6017,Cheryl Moon,Physics,Engineering,24.0,Boston,Reading,3002.293577981651,90497.14000811524
704b9274-58b4-4804-b7ee-58782e1a922c,Kenneth Morgan,Computer Science,Engineering,25.0,Chicago,Gaming,3002.4113316652765,90497.14000811524
f053d776-d496-4bcd-b4b4-df1f78b91a37,Karl Moore DDS,Mathematics,Engineering,24.0,Los Angeles,Music,3002.293577981651,90497.14000811524
55b4fb1c-d8b8-4818-8924-5dcf7c8264c1,Joseph Haney,Biology,Business,18.0,San Francisco,Sports,3002.293577981651,90493.7516737675
ae8f517c-86c1-4b5d-98cf-94d4d81a960f,Kevin Lewis,Chemistry,Engineering,18.0,San Francisco,Gaming,3002.4113316652765,90493.7516737675
2ddbe76e-d12f-4c53-aed9-ac4b6f236054,Mary Warner,Physics,Law,18.0,Chicago,Music,3002.293577981651,90493.7516737675
6a38e630-b0cc-41a4-b54d-d682e1213e5a,Michael King,Information Technology,Arts,23.0,Boston,Reading,3002.293577981651,90493.7516737675
68683fa2-4416-4f0a-85ee-5853a7717158,Meghan Wilcox,Mechanical Engineering,Business,24.0,Houston,Gaming,3002.293577981651,90497.14000811524
f0dd36a0-f9d2-4f5b-b812-0704e97dad11,Sandra Williams,Mathematics,Law,19.0,Los Angeles,Sports,3002.4113316652765,90497.14000811524
b367f84a-baf2-417f-b3bb-a4726c8d905f,Jennifer Hall,Psychology,Health,20.0,New York,Music,3002.4113316652765,90493.7516737675
35c62914-68e0-4455-aaec-e3fbc44d9771,Vicki Burnett,Computer Science,Arts,19.0,Los Angeles,Traveling,3002.4113316652765,90493.7516737675
ed9ef1e1-70ca-4f2d-89e3-7f5ec900f097,Michelle Lawson,Mathematics,Law,18.0,Houston,Reading,3002.4113316652765,90497.14000811524
6a681567-b867-49ee-ab11-5a4f07451176,David Davidson,Nursing,Arts,25.0,New York,Cooking,3002.293577981651,90493.7516737675
